front,back
Capital of France,Paris
Capital of Japan,Tokyo
Capital of Brazil,Brasília
Capital of Australia,Canberra
Capital of Canada,Ottawa
Capital of Egypt,Cairo
Capital of India,New Delhi
Capital of Germany,Berlin
Capital of Kenya,Nairobi
Capital of Mexico,Mexico City
Capital of South Korea,Seoul
Capital of Norway,Oslo
Capital of Argentina,Buenos Aires
Capital of Turkey,Ankara
Capital of Thailand,Bangkok
Capital of Nigeria,Abuja
Capital of Spain,Madrid
Capital of Russia,Moscow
Capital of New Zealand,Wellington
Capital of Switzerland,Bern
